,discipline,SPMDIR,RMASanitizer-NoOpt
001-MPI-shmem-mixed-get-get-local-yes.c,sync,TP,TP
002-MPI-shmem-mixed-get-get-local-no.c,sync,TN,TN
003-MPI-shmem-mixed-single-sync-local-yes.c,sync,TP,TP
004-MPI-shmem-mixed-single-sync-local-no.c,sync,TN,TN
005-MPI-shmem-mixed-get-get-lock-mixup-local-yes.c,sync,TP,TP
006-MPI-shmem-mixed-get-get-lock-mixup-local-no.c,sync,TN,TN
